tp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
84,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,133.0,147.6,102.3,113.4,97.2,81.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,172.5,74.4,38.8,18.6,52.4,57.5,26.2,19.4,45.1,6.8,6.5,0.0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,0.0,64.0,48.0,0.0,0.0,0.0,36.3,204.8,41.6,36.5,25.3,67.6
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,182.7,123.5,0.0,47.9,21.4,0.0,0.0,0.0,0.0,0.0,22.4,22.7
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,98.0,120.0,324.1,0.0,27.4,0.0,6.1,13.7,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,0.0,0.0,0.0,137.0,143.1,127.1,38.5,83.6,31.8,22.9,9.6,11.4
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,42.5,75.0,151.7,56.2,58.4,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.7,310.0,172.7,90.0,51.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,142.0,78.5,57.9,0.0,70.1,47.4,30.1,41.1,10.4,17.3,13.8,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,242.2,61.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,56.4,0.0,65.5,73.5,98.1,44.1,0.0,0.0,48.8,70.6,41.8,23.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0,67.1,84.2,28.2,0.0,0.0,51.6,38.7,29.4
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,0.0,0.0,0.0,284.1,35.0,101.0,160.3,89.4,39.2,59.6,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,67.0,86.0,60.0,168.8,28.0,33.6,15.6,34.9,11.8
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,115.0,180.6,123.2,6.0,18.5,56.3,69.8,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,82.5,109.4,76.2,27.3,43.3,65.9,20.5,44.3,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,85.0,101.5,87.0,225.0,84.4,0.0,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,138.7,55.2,214.2,182.7,78.5,0.0,0.0,42.3,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,254.9,29.8,0.0,0.0,0.0,0.0,29.8,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,81.3,89.4,0.0,59.6,44.7,0.0,98.1,112.3,63.2,3.5
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,88.3,175.6,87.4,179.6,170.6,50.0,38.7,64.3,58.9
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,340.0,149.4,92.5,0.0,0.0,30.6,15.1,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,212.5,209.8,167.0,110.6,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,164.4,245.7,41.8,12.8,11.0,4.1,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,85.6,75.0,0.0,0.0,0.0,138.5,150.5,68.2,0.0,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,0.0,0.0,0.0,0.0,0.0,94.1,93.4,69.2,55.4,66.6
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,145.6,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,98.6,95.9,0.0,68.5,133.4,95.2,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,24.8,69.0,55.2,76.0,19.4,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,60.0,0.0,97.0,76.9,108.8,0.0,0.0,6.8,0.0,0.0
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.5,319.5,139.4,0.0,38.7,14.0,6.2,4.7,0.0,0.0
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,127.6,269.3,68.2,0.0,29.4,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.5
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,97.6,6.3,0.0,0.0,0.0,33.6,80.9,0.0,69.2
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,0.0,108.7,0.0,107.1,0.0,120.9,213.2,151.7
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,271.3,130.2,0.0,0.0,0.0,0.0,33.8,0.0
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,264.3,14.6,0.0,0.0,0.0,0.0,134.0,136.8,0.0
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,122.0,127.8,140.9,153.1
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,147.9,344.8,252.0,0.0
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.2,113.1,68.3,0.0,37.2,52.1,0.0,19.1,13.0,17.5
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.3,135.8,158.2,113.5,0.0,38.2,22.9,0.0,5.7
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,97.6,113.4
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.2,321.5,259.1,103.6,137.8,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,114.0,149.4,132.8,116.2
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.5,189.8,133.6,0.0,0.0,0.0,54.7,31.9,0.0
131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,45.4,179.3,152.6,85.7,86.5,13.7
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,71.8,70.7,20.2,16.1,137.0,116.2,24.7,0.0
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.4,127.9,115.5,22.8,0.0,0.0,0.0,0.0
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,121.0,146.7,180.2,115.3,42.8
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.0,105.0,253.7,167.1,107.1,91.8,76.5
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,0.0,102.1,160.0,107.6,0.0,32.6,0.0,0.0
137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,50.5,68.4,0.0,35.6,71.1
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,81.8,0.0,65.2,182.4,101.5
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.7,127.8,81.5,60.7,85.2,71.0,5.7,0.0
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.1,255.2,0.0,113.3,76.3,15.4,21.5,0.0
141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,130.0,233.4,198.8,0.0,8.6,21.6,5.8
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.4,176.2,113.5,61.9,22.2,0.0,0.0
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,258.6,195.2,171.3,121.7,103.6,13.8
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,291.1,70.3,77.2,57.1,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,0.0,120.0,0.0,73.9,110.0,0.0
146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,41.0,0.0,53.8,81.5,65.2,48.9
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,241.2,268.8,138.6,114.6,0.0,0.7,0.0
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,122.2,284.7,21.4,0.0,30.6,18.4
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,64.8,0.0,61.2,45.9
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,218.0,137.2,56.4,36.2,0.0,0.0
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,70.6,99.4,0.0,71.0
152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,81.2
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1,208.0,118.3,70.1,0.0,46.4,29.4
154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.9,144.9,128.8,73.5,47.3,31.9
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,43.2,42.0,0.0,54.4,40.8
156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,14.3,0.0,0.0,101.9,47.7
157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,124.2,110.4,96.6,82.8,69.0,0.6
158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.6,0.0,0.0,23.5,81.4,42.6
159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,100.4,112.4,87.8,77.3
160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,72.0,86.9,111.2,56.2
161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,110.2,123.3,0.0,18.2
162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,116.0
163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,22.2,45.9,0.0,0.0
164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.2,144.0,188.0,130.1,0.0,0.0
165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.5,128.7,295.5,100.1,32.3,0.0
166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.9,270.5,141.5,46.9,0.0,0.0
167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0
168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,110.4,172.6
