tp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
34,0.0,0.0,0.0,0.0,146.3,283.1,486.5,611.9,698.9,739.8,770.5,770.5,770.5,770.5,801.0,822.5,831.1,862.6,862.6,926.7,946.2,974.7,994.6,994.6,994.6,994.6,994.6,994.6,994.6,994.6
35,0.0,0.0,0.0,0.0,0.0,4.9,75.4,133.4,175.7,366.6,597.8,744.8,744.8,804.5,817.5,859.5,898.7,975.1,1004.8,1004.8,1004.8,1052.0,1052.0,1052.0,1144.4,1144.4,1144.4,1144.4,1144.4,1144.4
36,0.0,0.0,0.0,0.0,0.0,134.0,285.4,421.5,550.3,764.6,772.4,805.7,872.0,888.2,910.3,910.3,910.3,910.3,910.3,955.5,1008.1,1055.8,1177.2,1183.4,1183.4,1183.4,1183.4,1183.4,1183.4,1183.4
37,0.0,0.0,0.0,0.0,0.0,241.5,476.7,514.4,540.2,584.7,692.9,742.3,809.8,809.8,809.8,809.8,809.8,816.3,826.2,826.2,826.2,826.2,826.2,866.6,869.5,875.8,885.4,885.4,885.4,885.4
38,0.0,0.0,0.0,0.0,0.0,10.8,109.3,160.8,649.3,746.9,804.2,865.1,903.8,903.8,903.8,903.8,903.8,903.8,903.8,903.8,903.8,903.8,903.8,928.1,958.5,958.5,958.5,958.5,958.5,958.5
39,0.0,0.0,0.0,0.0,0.0,160.9,536.3,596.6,596.6,743.0,789.5,838.5,847.0,889.2,898.0,906.7,911.6,911.6,940.2,945.0,956.1,956.1,956.1,956.1,956.1,956.1,956.1,956.1,956.1,956.1
40,0.0,0.0,0.0,0.0,0.0,344.7,643.5,652.3,694.7,724.6,733.3,739.2,743.6,757.5,778.3,792.8,801.4,815.4,836.6,875.7,909.9,909.9,909.9,909.9,909.9,909.9,909.9,909.9,909.9,909.9
41,0.0,0.0,0.0,0.0,0.0,272.6,535.8,650.3,650.3,779.7,835.2,862.9,888.2,888.2,888.2,888.2,888.2,888.2,888.2,888.2,888.2,888.2,898.4,905.5,905.5,905.5,905.5,905.5,905.5,905.5
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,141.2,320.9,477.0,652.0,729.6,853.6,894.0,932.9,958.7,992.1,1006.4,1006.4,1006.4,1006.4,1006.4,1006.4,1006.4,1026.5,1026.5,1057.1,1173.4,1173.4
43,0.0,0.0,0.0,0.0,0.0,0.0,8.8,188.6,436.5,552.4,608.1,680.2,727.3,756.1,777.7,777.7,777.7,777.7,777.7,820.5,884.1,884.1,912.7,912.7,912.7,934.3,967.7,967.7,1010.7,1026.4
44,0.0,0.0,0.0,0.0,0.0,0.0,6.8,6.8,57.2,159.4,488.4,540.9,586.5,627.1,627.1,706.4,792.8,861.4,895.5,902.3,908.7,926.6,962.0,969.9,969.9,969.9,969.9,969.9,969.9,969.9
