tp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,73.1,379.9,124.2,26.7,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,108.9,180.9,0.0,137.9,134.2,30.4,86.2,0.0,60.7,56.0,0.0,0.0,0.0,0.0,25.5,58.5,0.0,0.0,0.0,0.0,4.8,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,95.5,225.1,125.9,13.6,164.9,6.0,40.9,0.0,10.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.2,295.5,148.7,110.4,150.0,2.6,1.6,2.5,8.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,62.5,144.9,53.8,10.0,135.4,56.0,117.4,2.2,0.0,15.8,12.1,17.1,0.0,3.9,8.1,0.0,0.0,5.2,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.2,234.2,0.4,86.3,37.2,161.1,96.1,7.0,20.6,81.5,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.8,197.2,253.4,198.2,17.5,33.5,57.9,36.1,23.1,40.4,0.0,0.0,12.9,0.0,10.0,0.0,11.0,0.0,68.6,18.1,42.3,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.7,279.6,64.4,80.7,52.7,1.6,42.7,38.7,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,17.6,1.6,28.2,75.6,132.7,54.2,45.7,49.0,74.9,4.2,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,6.0,8.7,115.8,191.3,42.2,14.0,27.8,32.6,58.6,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.8,240.8,169.3,96.0,9.9,25.4,21.4,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.6,135.9,125.2,228.5,34.2,66.8,2.6,36.1,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.3,219.6,211.4,181.3,49.4,0.0,55.7,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,7.7,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,68.0,80.5,168.7,83.4,39.6,38.7,29.9,0.0,0.0,10.8,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.5,388.6,95.7,56.8,5.3,14.0,8.1,4.3,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,5.5,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,15.7,2.1,162.3,18.1,83.5,0.0,22.0,0.0,1.4,9.3,0.0,101.4,25.1,42.1,6.5,27.2,0.0,4.1,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,94.3,162.1,141.8,149.3,3.9,0.0,104.0,51.1,64.8,0.0,4.5,0.0,0.0,0.0,11.5,13.8,14.4,5.3,4.6
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,33.4,132.7,94.1,168.2,75.7,45.8,0.2,20.6,76.0,11.5,62.3,0.0,0.0,9.7,39.5,0.0,11.0,19.3,5.1,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,116.8,238.0,72.6,164.8,65.9,22.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,23.2,70.0,185.5,34.8,14.0,122.5,194.9,57.2,77.8,0.0,0.0,0.0,39.2,4.5,12.2,8.3,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.6,199.9,19.6,112.3,74.7,0.0,5.8,6.5,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.9,277.5,47.1,209.5,46.6,37.6,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.8,120.8,113.3,115.5,29.9,0.0,0.0,33.4,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,51.2,2.9,205.7,144.2,51.6,23.1,49.5,49.5,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,37.7
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.3,266.7,177.8,35.5,25.7,40.5,3.5,4.0,21.9,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.2,328.6,56.2,60.8,5.3,4.3,15.6,0.0,28.1,0.0,0.0,0.0,4.7,0.0,4.7,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,53.7,76.2,141.3,76.8,16.7,67.1,0.0,6.0,0.0,10.7,0.0,0.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.9,220.8,78.2,79.4,42.0,56.7,68.4,0.5,12.5,0.0,0.0,0.0,0.0,0.0,4.9,3.6,0.0,7.7,0.0,34.8
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,75.9,9.7,189.4,3.4,12.6,0.0,19.5,0.0,0.0,0.0,0.0,0.0,6.4,122.5,99.8,13.7,5.9,31.6,4.6
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,214.8,231.3,57.5,64.6,23.6,18.5,2.5,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.1,243.3,136.0,12.9,1.5,18.2,36.9,5.6,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,207.8,0.0,300.8,51.1,36.8,1.3,8.4,7.0,0.0,0.0,0.0,9.8,8.6,31.0,9.1,0.0,15.1,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,379.2,193.5,97.8,48.8,11.5,8.4,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,13.8
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.8,146.2,266.4,85.7,64.0,60.1,5.8,0.0,1.6,0.0,0.0,0.0,4.0,0.0,0.0,3.8,28.3,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,45.4,63.0,5.9,79.6,150.5,11.8,4.1,40.0,39.2,24.1,137.1,26.3,7.0,16.0,13.1,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,117.4,188.1,67.6,118.3,0.0,76.1,51.8,93.2,101.6,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,15.3,64.2,41.8,181.8,138.1,135.2,5.2,15.9,18.0,1.1,0.0,59.0,7.4,0.0,9.7,5.1,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,133.2,153.6,31.2,16.8,0.0,11.2,25.2,0.0,0.0,105.0,0.0,23.1,77.9,15.6,13.4,6.4,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,159.6,109.4,250.7,77.4,10.7,27.9,13.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.1,327.0,185.0,81.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,17.5,16.2,55.4,0.4,46.6,101.0,71.8,66.6,0.4,10.5,27.5,0.0,19.7,15.7,15.7,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.8,323.3,153.9,191.9,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,103.7,16.8,34.8,49.9,135.2,140.5,38.6,69.8,19.3,7.6,0.0,0.0,0.0,0.0,8.1,54.1,24.7
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,104.6,8.9,79.7,84.0,76.7,14.8,8.2,8.6,5.7,28.0,29.2,21.9,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,78.1,79.5,63.6,0.0,17.4,0.0,35.3,137.9,14.0,15.1,4.5,0.0,4.6,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,154.4,281.4,145.8,30.8,11.0,9.2,5.3,50.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,83.7,166.0,61.2,102.4,133.2,77.8,38.7,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,110.8,220.4,38.1,95.3,6.4,0.0,0.0,23.4,23.6,15.3,12.5,9.0,28.3,37.8,0.0,0.0
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,17.3,100.9,220.6,84.0,20.5,84.5,87.0,30.0,0.0,31.2,0.0,3.0,13.8,0.0,0.0,6.3
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,111.4,67.0,119.3,46.7,0.4,0.0,43.2,61.7,10.6,56.2,21.0,74.6,48.8,5.7,19.9,1.4
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,115.4,178.4,237.7,6.2,54.3,24.5,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.3,177.5,96.1,0.0,35.0,158.2,103.8,0.0,0.0,8.4,0.0,5.6,0.0,10.8,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,12.4,24.7,42.2,43.6,36.2,0.0,36.5,53.9,5.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,4.8,0.0,75.1,93.1,28.9,204.5,79.7,5.9,68.3,0.0,7.7,0.0,10.9,0.0
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,116.0,103.8,113.6,65.5,89.9,63.9,2.4,0.0,8.8,27.7,0.0,5.5,0.0,0.0,6.2
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,290.9,153.4,50.0,38.8,0.0,57.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,2.1,0.0,86.4,85.4,45.1,43.5,160.0,88.6,61.9,0.0,58.4,0.0,0.0,11.5
